"LOINC_CODE","LOINC_NAME","LOINC_COMPONENT","LOINC_PROPERTY","LOINC_TIMEASPECT","LOINC_SYSTEM","LOINC_SCALE","LOINC_METHOD"
"7152-2",Blueberry IgE Ab [Units/volume] in Serum,Vaccinium myrtillus Ab.IgE,ACnc,Pt,Ser,Qn,
"6257-0",Strawberry IgE Ab [Units/volume] in Serum,Fragaria vesca Ab.IgE,ACnc,Pt,Ser,Qn,
"6194-5",Orange IgE Ab [Units/volume] in Serum,Citrus sinensis Ab.IgE,ACnc,Pt,Ser,Qn,
"6850-2",Papaya (Carica papaya) IgE Ab [Units/volume] in Serum,Carica papaya Ab.IgE,ACnc,Pt,Ser,Qn,
"10946-2",Passion fruit IgE Ab [Units/volume] in Serum,Passiflora edulis Ab.IgE,ACnc,Pt,Ser,Qn,
"6860-1",Trichophyton rubrum IgE Ab [Units/volume] in Serum,Trichophyton rubrum Ab.IgE,ACnc,Pt,Ser,Qn,
"10930-6",Fish Feed IgE Ab [Units/volume] in Serum,Artemia salina Ab.IgE,ACnc,Pt,Ser,Qn,
"15260-3",Tree Allergen Mix 10 (Grey alder+Silver birch+Hazelnut+White ash) IgE Ab [Presence] in Serum by Multidisk,(Alnus incana+Betula verrucosa+Corylus avellana+Fraxinus americana) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"7310-6",Douglas Fir IgE Ab [Units/volume] in Serum,Pseudotsuga taxifolia Ab.IgE,ACnc,Pt,Ser,Qn,
"6189-5",White Oak IgE Ab [Units/volume] in Serum,Quercus alba Ab.IgE,ACnc,Pt,Ser,Qn,
"15275-1",Weed Allergen Mix 6 (English plantain+Goosefoot or Lambs quarters+Saltwort+Sheep sorrel) IgE Ab [Presence] in Serum by Multidisk,(Plantago lanceolata+Chenopodium album+Salsola kali+Rumex acetosella) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"6034-3",Bahia grass IgE Ab [Units/volume] in Serum,Paspalum notatum Ab.IgE,ACnc,Pt,Ser,Qn,
"6236-4",Cultivated Rye IgE Ab [Units/volume] in Serum,Secale cereale pollen Ab.IgE,ACnc,Pt,Ser,Qn,
"6153-1",Kentucky blue grass IgE Ab [Units/volume] in Serum,Poa pratensis Ab.IgE,ACnc,Pt,Ser,Qn,
"9828-5",House dust Greer IgE Ab [Units/volume] in Serum,House dust Greer Ab.IgE,ACnc,Pt,Ser,Qn,
"6844-5",Honey Bee IgE Ab [Units/volume] in Serum,Apis mellifera Ab.IgE,ACnc,Pt,Ser,Qn,
"15342-9",European Hornet IgE Ab [Units/volume] in Serum,Vespa crabro Ab.IgE,ACnc,Pt,Ser,Qn,
"6117-6",Red Imported Fire Ant IgE Ab [Units/volume] in Serum,Solenopsis invicta Ab.IgE,ACnc,Pt,Ser,Qn,
"6078-0",Cockroach IgE Ab [Units/volume] in Serum,Blatella germanica Ab.IgE,ACnc,Pt,Ser,Qn,
"15236-3",Occupational Allergen Mix 2 (Acarus siro+Lepidoglyphus destructor+Horse bot fly+Grain weevel) IgE Ab [Presence] in Serum by Multidisk,(Acarus siro+Lepidoglyphus destructor+Gasterophilus intestinalis+Sitophilus granarius) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"15238-9",Occupational Allergen Mix 4 (Amylase+Soybean+Grain weevel+Wheat) IgE Ab [Presence] in Serum by Multidisk,(Amylase+Glycine max+Sitophilus granarius+Triticum sativum) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"15239-7",Occupational Allergen Mix 5 (Isocyanate HDI+MDI+TDI+Phthalic anhydride) IgE Ab [Presence] in Serum by Multidisk,(Hexamethylene diisocyanate (HDI)+Diphenylmethane diisocyanate (MDI)+Toluene diisocyante (TDI)+Phthalic anhydride) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"6112-7",Ethylene oxide IgE Ab [Units/volume] in Serum,Ethylene oxide Ab.IgE,ACnc,Pt,Ser,Qn,
"6119-2",Formaldehyde IgE Ab [Units/volume] in Serum,Formaldehyde Ab.IgE,ACnc,Pt,Ser,Qn,
"7430-2",Isocyanate MDI IgE Ab [Units/volume] in Serum,Diphenylmethane diisocyanate (MDI) Ab.IgE,ACnc,Pt,Ser,Qn,
"6049-1",Botrytis cinerea IgE Ab [Units/volume] in Serum,Botrytis cinerea Ab.IgE,ACnc,Pt,Ser,Qn,
"6138-2",Helminthosporium halodes IgE Ab [Units/volume] in Serum,Helminthosporium halodes Ab.IgE,ACnc,Pt,Ser,Qn,
"6216-6",Phoma betae IgE Ab [Units/volume] in Serum,Phoma betae Ab.IgE,ACnc,Pt,Ser,Qn,
"3187-2",Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay,Coagulation factor IX activity actual/Normal,RelTime,Pt,PPP,Qn,Coag
"27823-4",Protein S Ag actual/normal in Platelet poor plasma by Immunologic method,Protein S Ag actual/Normal,RelMCnc,Pt,PPP,Qn,Imm
"25742-8",Prothrombin Fragment 1.2 [Moles/volume] in Serum or Plasma,Prothrombin fragment 1+2,SCnc,Pt,Ser/Plas,Qn,
"6683-7",Reptilase time in Platelet poor plasma by Coagulation assay,Coagulation reptilase induced,Time,Pt,PPP,Qn,Coag
"6124-2",Giant Ragweed IgE Ab [Units/volume] in Serum,Ambrosia trifida Ab.IgE,ACnc,Pt,Ser,Qn,
"6118-4",Firebush IgE Ab [Units/volume] in Serum,Kochia scoparia Ab.IgE,ACnc,Pt,Ser,Qn,
"11180-7",Lupin IgE Ab [Units/volume] in Serum,Lupinus spp Ab.IgE,ACnc,Pt,Ser,Qn,
"6196-0",Ox-eye daisy IgE Ab [Units/volume] in Serum,Chrysanthemum leucanthemum Ab.IgE,ACnc,Pt,Ser,Qn,
"5632-5",Copper [Mass/volume] in Urine,Copper,MCnc,Pt,Urine,Qn,
"32206-5",Plasmodium sp identified in Blood by Light microscopy,Plasmodium sp identified,Prid,Pt,Bld,Nom,Microscopy.light
"777-3",Platelets [#/volume] in Blood by Automated count,Platelets,NCnc,Pt,Bld,Qn,Automated count
"11024-7",Benzodiazepines [Mass/volume] in Serum or Plasma,Benzodiazepines,MCnc,Pt,Ser/Plas,Qn,
"26554-6",Glucose [Mass/volume] in Serum or Plasma --2.5 hours post dose glucose,Glucose^2.5H post dose glucose,MCnc,Pt,Ser/Plas,Qn,
"1547-9",Glucose [Mass/volume] in Serum or Plasma --baseline,Glucose^baseline,MCnc,Pt,Ser/Plas,Qn,
"11557-6",Carbon dioxide [Partial pressure] in Blood,Carbon dioxide,PPres,Pt,Bld,Qn,
"707-0",Basophils/100 leukocytes in Blood by Manual count,Basophils/100 leukocytes,NFr,Pt,Bld,Qn,Manual count
"2888-6",Protein [Mass/volume] in Urine,Protein,MCnc,Pt,Urine,Qn,
"2350-7",Glucose [Mass/volume] in Urine,Glucose,MCnc,Pt,Urine,Qn,
"14934-4",Urate [Moles/volume] in Urine,Urate,SCnc,Pt,Urine,Qn,
"6938-5",IgA [Mass/volume] in Saliva,IgA,MCnc,Pt,Saliva,Qn,
"48065-7",Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,Fibrin D-dimer FEU,MCnc,Pt,PPP,Qn,
"6301-6",INR in Platelet poor plasma by Coagulation assay,Coagulation tissue factor induced.INR,RelTime,Pt,PPP,Qn,Coag
"43966-1",CD4+CD45RA+ cells/100 cells in Unspecified specimen,Cells.CD4+CD45RA+/100 cells,NFr,Pt,XXX,Qn,
"20620-1",CD16+CD56+ cells/100 cells in Unspecified specimen,Cells.CD16+CD56+/100 cells,NFr,Pt,XXX,Qn,
"17209-8",CD94 cells/100 cells in Blood,Cells.CD94/100 cells,NFr,Pt,Bld,Qn,
"2468-7",IgG subclass 3 [Mass/volume] in Serum,IgG subclass 3,MCnc,Pt,Ser,Qn,
"47286-0",Differential panel in Bone marrow,Differential panel,-,Pt,Bone mar,Qn,
"30366-9",Metamyelocytes/100 leukocytes in Cerebral spinal fluid,Metamyelocytes/100 leukocytes,NFr,Pt,CSF,Qn,
"30426-1",Macrophages/100 leukocytes in Cerebral spinal fluid,Macrophages/100 leukocytes,NFr,Pt,CSF,Qn,
"7338-7",Gluten IgG Ab [Units/volume] in Serum,Gluten Ab.IgG,ACnc,Pt,Ser,Qn,
"20589-8",CD14 cells/100 cells in Unspecified specimen,Cells.CD14/100 cells,NFr,Pt,XXX,Qn,
"20595-5",CD20 cells/100 cells in Unspecified specimen,Cells.CD20/100 cells,NFr,Pt,XXX,Qn,
"20602-9",CD34 cells/100 cells in Unspecified specimen,Cells.CD34/100 cells,NFr,Pt,XXX,Qn,
"54079-9",Galactosemia newborn screening panel,Galactosemia newborn screening panel,-,Pt,Bld.dot,-,
"8093-7",Sjogrens syndrome-A extractable nuclear Ab [Presence] in Serum,Sjogrens syndrome-A extractable nuclear Ab,ACnc,Pt,Ser,Ord,
"32677-7",DNA double strand Ab [Units/volume] in Serum by Immunoassay,DNA double strand Ab,ACnc,Pt,Ser,Qn,EIA
"53981-7",Centromere protein B Ab [Presence] in Serum,Centromere protein B Ab,ACnc,Pt,Ser,Ord,
"5128-4",Neutrophil cytoplasmic Ab [Units/volume] in Serum,Neutrophil cytoplasmic Ab,ACnc,Pt,Ser,Qn,
"27320-1",Parietal cell Ab [Titer] in Serum,Parietal cell Ab,Titr,Pt,Ser,Qn,
"22412-1",Saccharopolyspora rectivirgula Ab [Presence] in Serum,Saccharopolyspora rectivirgula Ab,ACnc,Pt,Ser,Ord,
"15091-2",Pregnanediol [Moles/volume] in Urine,Pregnanediol,SCnc,Pt,Urine,Qn,
"15092-0",Pregnanetriol [Moles/volume] in Urine,Pregnanetriol,SCnc,Pt,Urine,Qn,
"20647-4",Hydroxyproline [Moles/volume] in Serum or Plasma,Hydroxyproline,SCnc,Pt,Ser/Plas,Qn,
"20649-0",Leucine [Moles/volume] in Serum or Plasma,Leucine,SCnc,Pt,Ser/Plas,Qn,
"20659-9",Tryptophan [Moles/volume] in Serum or Plasma,Tryptophan,SCnc,Pt,Ser/Plas,Qn,
"32227-1",Argininosuccinate [Moles/volume] in Serum or Plasma,Argininosuccinate,SCnc,Pt,Ser/Plas,Qn,
"25865-7",Aspartate/Creatinine [Molar ratio] in 24 hour Urine,Aspartate/Creatinine,SCrto,"24H",Urine,Qn,
"22688-6",Threonine/Creatinine [Molar ratio] in Urine,Threonine/Creatinine,SCrto,Pt,Urine,Qn,
"22687-8",Cystine/Creatinine [Molar ratio] in Urine,Cystine/Creatinine,SCrto,Pt,Urine,Qn,
"26575-1","3-Methylhistidine/Creatinine [Molar ratio] in Urine","3-Methylhistidine/Creatinine",SCrto,Pt,Urine,Qn,
"22679-5",Lysine/Creatinine [Molar ratio] in Urine,Lysine/Creatinine,SCrto,Pt,Urine,Qn,
"5133-4",Streptococcal DNAse B [Units/volume] in Serum,DNAse B Ab.Streptococcal,ACnc,Pt,Ser,Qn,
"22163-0",Candida albicans Ab [Units/volume] in Serum,Candida albicans Ab,ACnc,Pt,Ser,Qn,
"17114-0",CD122 cells/100 cells in Blood,Cells.CD122/100 cells,NFr,Pt,Bld,Qn,
"26033-1",Pronormoblasts/100 cells in Bone marrow,Pronormoblasts/100 cells,NFr,Pt,Bone mar,Qn,
"11116-1",Normoblasts Orthochromic/100 cells in Bone marrow by Microscopy,Normoblasts.orthochromic/100 cells,NFr,Pt,Bone mar,Qn,Microscopy
"28009-9",Volume of Urine,Specimen volume,Vol,Pt,Urine,Qn,
"2064-4",Ceruloplasmin [Mass/volume] in Serum or Plasma,Ceruloplasmin,MCnc,Pt,Ser/Plas,Qn,
"6875-9",Cancer Ag 15-3 [Units/volume] in Serum or Plasma,Cancer Ag 15-3,ACnc,Pt,Ser/Plas,Qn,
"48163-0",Cytokeratin 19 [Mass/volume] in Body fluid,Cytokeratin 19,MCnc,Pt,Body fld,Qn,
"1834-1",Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,Alpha-1-Fetoprotein,MCnc,Pt,Ser/Plas,Qn,
"1795-4",Amylase [Enzymatic activity/volume] in Body fluid,Amylase,CCnc,Pt,Body fld,Qn,
"12228-3",Triglyceride [Mass/volume] in Body fluid,Triglyceride,MCnc,Pt,Body fld,Qn,
"1799-6",Amylase [Enzymatic activity/volume] in Urine,Amylase,CCnc,Pt,Urine,Qn,
"11113-8",Myeloblasts/100 cells in Bone marrow by Microscopy,Myeloblasts/100 cells,NFr,Pt,Bone mar,Qn,Microscopy
"50374-8",Myelocytes.eosinophilic/100 cells in Bone marrow by Manual count,Myelocytes.eosinophilic/100 cells,NFr,Pt,Bone mar,Qn,Manual count
"11111-2",Metamyelocytes/100 cells in Bone marrow by Microscopy,Metamyelocytes/100 cells,NFr,Pt,Bone mar,Qn,Microscopy
"803-7",Toxic granules [Presence] in Blood by Light microscopy,Toxic granules,ACnc,Pt,Bld,Ord,Microscopy.light
"7798-2",Smudge cells [Presence] in Blood by Light microscopy,Smudge cells,ACnc,Pt,Bld,Ord,Microscopy.light
"51582-5",Anisochromasia [Presence] in Blood by Light microscopy,Anisochromasia,ACnc,Pt,Bld,Ord,Microscopy.light
"2950-4",Sodium [Moles/volume] in Body fluid,Sodium,SCnc,Pt,Body fld,Qn,
"9595-0",Borrelia burgdorferi 58kD IgG Ab [Presence] in Serum by Immunoblot (IB),Borrelia burgdorferi 58kD Ab.IgG,ACnc,Pt,Ser,Ord,IB
"9587-7",Borrelia burgdorferi 41kD IgM Ab [Presence] in Serum by Immunoblot (IB),Borrelia burgdorferi 41kD Ab.IgM,ACnc,Pt,Ser,Ord,IB
"32666-0",Borrelia burgdorferi 25kD IgM Ab [Presence] in Serum by Immunoblot (IB),Borrelia burgdorferi 25kD Ab.IgM,ACnc,Pt,Ser,Ord,IB
"42589-2",Borrelia burgdorferi DNA [Presence] in Body fluid by Probe and target amplification method,Borrelia burgdorferi DNA,ACnc,Pt,Body fld,Ord,Probe.amp.tar
"2829-0",Potassium [Moles/time] in 24 hour Urine,Potassium,SRat,"24H",Urine,Qn,
"33559-6",Immunoglobulin light chains.kappa/Immunoglobulin light chains.lambda [Mass ratio] in Urine,Immunoglobulin light chains.kappa/Immunoglobulin light chains.lambda,MCrto,Pt,Urine,Qn,
"27394-6",Immunoglobulin light chains.lambda [Mass/volume] in Urine,Immunoglobulin light chains.lambda,MCnc,Pt,Urine,Qn,
"2599-9",Magnesium [Moles/time] in 24 hour Urine,Magnesium,SRat,"24H",Urine,Qn,
"26566-0",CD19+Lambda+ cells/100 cells in Unspecified specimen,Cells.CD19+Lambda+/100 cells,NFr,Pt,XXX,Qn,
"32861-7",TCR gamma delta cells/100 cells in Unspecified specimen,Cells.TCR gamma delta/100 cells,NFr,Pt,XXX,Qn,
"55353-7",Hirudin [Mass/volume] in Platelet poor plasma by Chromogenic method,Hirudin,MCnc,Pt,PPP,Qn,Chromo
"24338-6",Gas panel in Blood,Gas panel,-,Pt,Bld,Qn,
"24515-9",Grass Allergen Mix A (Sweet vernal grass+Bermuda grass+Perennial rye grass+Timothy+Johnson grass) IgE Ab [Units/volume] in Serum by Multidisk,(Anthoxanthum odoratum+Cynodon dactylon+Lolium perenne+Phleum pratense+Sorghum halepense) Ab.IgE,ACnc,Pt,Ser,Qn,Multidisk
"35746-7",Hyperchromia [Presence] in Blood by Automated count,Hyperchromia,ACnc,Pt,Bld,Ord,Automated count
"2198-0",Delta aminolevulinate [Mass/volume] in Plasma,Delta aminolevulinate,MCnc,Pt,Plas,Qn,
"24446-7",Porphobilinogen [Mass/volume] in Urine,Porphobilinogen,MCnc,Pt,Urine,Qn,
"48767-8",Annotation comment,Annotation comment,Imp,Pt,{system},Nar,
"1510-7",Glucose [Mass/volume] in Serum or Plasma --1 hour post dose insulin IV,Glucose^1H post dose insulin IV,MCnc,Pt,Ser/Plas,Qn,
"1493-6",Glucose [Mass/volume] in Serum or Plasma --1.5 hours post 0.05-0.15 U insulin/kg IV 12 hours fasting,Glucose^1.5H post 0.05-0.15 U insulin/kg IV post 12H CFst,MCnc,Pt,Ser/Plas,Qn,
"55513-6",Somatotropin [Mass/volume] in Serum or Plasma --30 minutes post dose clonidine,Somatotropin^30M post dose clonidine,MCnc,Pt,Ser/Plas,Qn,
"40299-0",Somatotropin [Mass/volume] in Serum or Plasma --1 hour post dose clonidine,Somatotropin^1H post dose clonidine,MCnc,Pt,Ser/Plas,Qn,
"14146-5",Somatotropin [Mass/volume] in Serum or Plasma --1 hour post XXX challenge,Somatotropin^1H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"57685-0",Cortisol [Mass/volume] in Saliva --2nd specimen,Cortisol^2nd specimen,MCnc,Pt,Saliva,Qn,
"26528-0",Cortisol [Mass/volume] in Serum or Plasma --1 hour post dose corticotropin,Cortisol^1H post dose corticotropin,MCnc,Pt,Ser/Plas,Qn,
"46400-8",Corticotropin [Mass/volume] in Plasma --15 minutes post 1 ug/kg CRH IV,Corticotropin^15M post 1 ug/kg CRH IV,MCnc,Pt,Plas,Qn,
"43603-0",Androstenedione [Mass/volume] in Serum or Plasma --1st specimen post XXX challenge,Androstenedione^1st specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"1633-7",Somatotropin [Mass/volume] in Serum or Plasma --45 minutes post dose insulin IV,Somatotropin^45M post dose insulin IV,MCnc,Pt,Ser/Plas,Qn,
"1627-9",Somatotropin [Mass/volume] in Serum or Plasma --1.5 hours post dose insulin IV,Somatotropin^1.5H post dose insulin IV,MCnc,Pt,Ser/Plas,Qn,
"1398-7",Cortisol [Mass/volume] in Serum or Plasma --1.5 hours post dose insulin IV,Cortisol^1.5H post dose insulin IV,MCnc,Pt,Ser/Plas,Qn,
"1363-1",Corticotropin [Mass/volume] in Plasma --30 minutes post dose insulin IV,Corticotropin^30M post dose insulin IV,MCnc,Pt,Plas,Qn,
"33863-2",Cystatin C [Mass/volume] in Serum or Plasma,Cystatin C,MCnc,Pt,Ser/Plas,Qn,
"21381-9",Prolactin [Mass/volume] in Serum or Plasma --1.5 hours post XXX challenge,Prolactin^1.5H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"46402-4",Corticotropin [Mass/volume] in Plasma --2 hours post 1 ug/kg CRH IV,Corticotropin^2H post 1 ug/kg CRH IV,MCnc,Pt,Plas,Qn,
"65605-8",Has your difficulty with sleeping occurred or worsened during menopause PhenX,Has your difficulty with sleeping occurred or worsened during menopause,Find,Pt,^Patient,Ord,PhenX
"2118-8",Choriogonadotropin (pregnancy test) [Presence] in Serum or Plasma,Choriogonadotropin (pregnancy test),ACnc,Pt,Ser/Plas,Ord,
"53147-5",Follitropin [Units/volume] in Serum or Plasma --2 hours post XXX challenge,Follitropin^2H post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"30992-2",Aspergillus fumigatus recombinant (rAsp f) 4 IgE Ab [Units/volume] in Serum,Aspergillus fumigatus recombinant (rAsp f) 4 Ab.IgE,ACnc,Pt,Ser,Qn,
"3669-9",Haloperidol [Mass/volume] in Serum or Plasma,Haloperidol,MCnc,Pt,Ser/Plas,Qn,
"3185-6",Coagulation factor IX inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay,Coagulation factor IX inhibitor,ACnc,Pt,PPP,Qn,Coag
"44460-4",Cladosporium herbarum Ab [Presence] in Serum by Immune diffusion (ID),Cladosporium herbarum Ab,ACnc,Pt,Ser,Ord,Immune diffusion
"3204-5",Coagulation factor VIII inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay,Coagulation factor VIII inhibitor,ACnc,Pt,PPP,Qn,Coag
"2077-6",Chloride [Moles/volume] in Sweat,Chloride,SCnc,Pt,Sweat,Qn,
"42599-1",Corticotropin [Mass/volume] in Plasma --1 hour post XXX challenge,Corticotropin^1H post XXX challenge,MCnc,Pt,Plas,Qn,
"12568-2",Cortisol [Mass/volume] in Serum or Plasma --20 minutes post XXX challenge,Cortisol^20M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"33827-7",Lutropin [Units/volume] in Serum or Plasma --1st specimen post XXX challenge,Lutropin^1st specimen post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"27854-9",Lutropin [Units/volume] in Serum or Plasma --5th specimen post XXX challenge,Lutropin^5th specimen post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"55611-8",Follitropin [Units/volume] in Serum or Plasma --1st specimen post XXX challenge,Follitropin^1st specimen post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"31592-9",Ribosomal P Ab [Presence] in Serum,Ribosomal P Ab,ACnc,Pt,Ser,Ord,
"6056-6",Bumble Bee IgE Ab [Units/volume] in Serum,Bombus terrestris Ab.IgE,ACnc,Pt,Ser,Qn,
"28560-1",Neuronal thread protein [Mass/volume] in Cerebral spinal fluid,Neuronal thread protein,MCnc,Pt,CSF,Qn,
"20448-7",Insulin [Units/volume] in Serum or Plasma,Insulin,ACnc,Pt,Ser/Plas,Qn,
"46408-1",Somatotropin [Mass/volume] in Serum or Plasma --15 minutes pre dose arginine,Somatotropin^15M pre dose arginine,MCnc,Pt,Ser/Plas,Qn,
"7072-2",Almond Tree IgE Ab [Units/volume] in Serum,Prunus dulcis tree Ab.IgE,ACnc,Pt,Ser,Qn,
"50464-7",C peptide [Moles/volume] in Serum or Plasma --4th specimen,C peptide^4th specimen,SCnc,Pt,Ser/Plas,Qn,
"50507-3",Insulin [Units/volume] in Serum or Plasma --7th specimen,Insulin^7th specimen,ACnc,Pt,Ser/Plas,Qn,
"50504-0",Insulin [Units/volume] in Serum or Plasma --4th specimen,Insulin^4th specimen,ACnc,Pt,Ser/Plas,Qn,
"50505-7",Insulin [Units/volume] in Serum or Plasma --5th specimen,Insulin^5th specimen,ACnc,Pt,Ser/Plas,Qn,
"4665-6",Lysozyme [Enzymatic activity/volume] in Serum or Plasma,Lysozyme,CCnc,Pt,Ser/Plas,Qn,
"14914-6",Testosterone Free [Moles/volume] in Serum or Plasma,Testosterone.free,SCnc,Pt,Ser/Plas,Qn,
"47533-5","17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --pre 250 ug corticotropin IM","17-Hydroxyprogesterone^pre 250 ug corticotropin IM",MCnc,Pt,Ser/Plas,Qn,
"25538-0",Thermoactinomyces vulgaris IgG Ab [Units/volume] in Serum,Thermoactinomyces vulgaris Ab.IgG,ACnc,Pt,Ser,Qn,
"25779-0",Stachybotrys chartarum IgG Ab [Units/volume] in Serum,Stachybotrys chartarum Ab.IgG,ACnc,Pt,Ser,Qn,
"30997-1",Timothy native (nPhl p) 4 IgE Ab [Units/volume] in Serum,Phleum pratense native (nPhl p) 4 Ab.IgE,ACnc,Pt,Ser,Qn,
"7333-8",Geotrichum candidum IgE Ab [Units/volume] in Serum,Geotrichum candidum Ab.IgE,ACnc,Pt,Ser,Qn,
"14114-3","17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --1 hour post 250 ug corticotropin IM","17-Hydroxyprogesterone^1H post 250 ug corticotropin IM",MCnc,Pt,Ser/Plas,Qn,
"51672-4","17-Hydroxypregnenolone [Mass/volume] in Serum or Plasma --4th specimen post XXX challenge","17-Hydroxypregnenolone^4th specimen post XXX challenge",MCnc,Pt,Ser/Plas,Qn,
"32046-5",Pregnancy associated plasma protein A [Units/volume] in Serum or Plasma,Pregnancy associated plasma protein A,ACnc,Pt,Ser/Plas,Qn,
"57102-6",Lutropin [Units/volume] in Serum or Plasma --2 hours post dose gonadotropin releasing hormone,Lutropin^2H post dose gonadotropin releasing hormone,ACnc,Pt,Ser/Plas,Qn,
"47757-0",Somatotropin [Units/volume] in Serum or Plasma --15 minutes post dose arginine,Somatotropin^15M post dose arginine,ACnc,Pt,Ser/Plas,Qn,
"47764-6",Somatotropin [Units/volume] in Serum or Plasma --2 hours post dose arginine,Somatotropin^2H post dose arginine,ACnc,Pt,Ser/Plas,Qn,
"32537-3",CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Bone marrow,Cells.CD3+CD4+/Cells.CD3+CD8+,NRto,Pt,Bone mar,Qn,
"13911-3",HLA-B27 related Ag [Presence],HLA-B27 related Ag,ACnc,Pt,Bld,Ord,
"42323-6",HLA-DR Ag [Type] in Tissue,HLA-DR Ag,Type,Pt,Tiss,Nom,
"733-6",Lymphocytes Variant [Presence] in Blood by Light microscopy,Lymphocytes.variant,ACnc,Pt,Bld,Ord,Microscopy.light
"32672-8",Cold agglutinin [Presence] in Serum or Plasma,Cold agglutinin,ACnc,Pt,Ser/Plas,Ord,
"34531-4",Blood type & Crossmatch panel in Blood,Blood type & Crossmatch panel,-,Pt,Bld,-,
"51831-6",Beta-2 transferrin [Mass/volume] in Body fluid,Beta-2 transferrin,MCnc,Pt,Body fld,Qn,
"57426-9",CD71 cells/100 cells in Body fluid,Cells.CD71/100 cells,NFr,Pt,Body fld,Qn,
"51535-3",Timothy IgG Ab [Presence] in Serum,Phleum pratense Ab.IgG,ACnc,Pt,Ser,Ord,
"17822-8",CD3+CD4+ (T4 helper) cells/100 cells in Body fluid,Cells.CD3+CD4+/100 cells,NFr,Pt,Body fld,Qn,
"57409-5",CD3+TCR alpha beta+ cells/100 cells in Body fluid,Cells.CD3+TCR alpha beta+/100 cells,NFr,Pt,Body fld,Qn,
"51379-6",HLA-DR+ cells/100 cells in Cerebral spinal fluid,Cells.HLA-DR+/100 cells,NFr,Pt,CSF,Qn,
"51299-6",CD38 cells/100 cells in Body fluid,Cells.CD38/100 cells,NFr,Pt,Body fld,Qn,
"14841-1",Microscopic observation [Identifier] in Unspecified specimen by Iron hematoxylin stain,Microscopic observation,Prid,Pt,XXX,Nom,Iron hematoxylin stain
"33219-7",Epithelial cells.squamous [#/area] in Urine by Automated count,Epithelial cells.squamous,Naric,Pt,Urine,Qn,Automated count
"8107-5",CD10 cells/100 cells in Blood,Cells.CD10/100 cells,NFr,Pt,Bld,Qn,
"17829-3",CD19 cells/100 cells in Body fluid,Cells.CD19/100 cells,NFr,Pt,Body fld,Qn,
"14017-8",CD22 cells/100 cells in Blood,Cells.CD22/100 cells,NFr,Pt,Bld,Qn,
"33905-1",Trichomonas sp [#/area] in Urine sediment by Microscopy high power field,Trichomonas sp,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF
"17141-3",CD36 cells/100 cells in Blood,Cells.CD36/100 cells,NFr,Pt,Bld,Qn,
"51231-9",CD11c cells/100 cells in Cerebral spinal fluid,Cells.CD11c/100 cells,NFr,Pt,CSF,Qn,
"17107-4",CD117 cells/100 cells in Blood,Cells.CD117/100 cells,NFr,Pt,Bld,Qn,
"8125-7",CD34 cells/100 cells in Blood,Cells.CD34/100 cells,NFr,Pt,Bld,Qn,
"44464-6",Herpes simplex virus 1 [Presence] in Skin by Organism specific culture,Herpes simplex virus 1,ACnc,Pt,Skin,Ord,Organism specific culture
"1989-3",Calcidiol [Mass/volume] in Serum or Plasma,Calcidiol,MCnc,Pt,Ser/Plas,Qn,
"14635-7",Calcidiol [Moles/volume] in Serum or Plasma,Calcidiol,SCnc,Pt,Ser/Plas,Qn,
"57764-3",Microscopic exam [interpretation] of Bone marrow by Cytology,Microscopic exam,Imp,Pt,Bone mar,Nom,Cytology
"51217-8",CD10 cells/100 cells in Body fluid,Cells.CD10/100 cells,NFr,Pt,Body fld,Qn,
"61183-0",Myeloperoxidase cells/100 cells in Blood,Cells.myeloperoxidase/100 cells,NFr,Pt,Bld,Qn,
"44445-5",Basement membrane IgA Ab [Units/volume] in Serum,Basement membrane Ab.IgA,ACnc,Pt,Ser,Qn,
"54018-7",Lactoferrin Ab [Presence] in Serum,Lactoferrin Ab,ACnc,Pt,Ser,Ord,
"51303-6",CD4+CD7- cells/100 cells in Cerebral spinal fluid,Cells.CD4+CD7-/100 cells,NFr,Pt,CSF,Qn,
